sf_loyalty_number_id,purchase_val,first_trans_date,last_trans_date,count_trans,job,gender,province_1,avg_available_point
PID-852656,2070000,2021-07-30,2021-07-30,3,Nội trợ,1,Tỉnh Phú Thọ,0
PID-614393,670000,2020-12-04,2020-12-04,1,Nội trợ,1,,0
PID-1206435,4060000,2022-02-27,2022-02-27,5,,2,,14
PID-895093,4640000,2021-11-04,2022-01-06,6,,1,Thành Phố Hồ Chí Minh,48
PID-852000,670000,2021-07-28,2021-07-28,1,,3,,0
PID-781069,5480000,2021-05-08,2022-03-16,8,Hưu trí,1,Tỉnh Đồng Nai,14
PID-698392,5420000,2021-01-29,2021-07-02,8,Hưu trí,1,Tỉnh Quảng Trị,0
PID-190202,2010000,2018-05-30,2018-05-30,3,Hưu trí,1,Tỉnh Thái Nguyên,0
PID-1210206,2520000,2022-03-06,2022-03-06,2,Nội trợ,1,Tỉnh Đồng Nai,0
PID-797507,2680000,2021-05-25,2021-05-25,4,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",3,Thành Phố Hà Nội,0
PID-304284,13400000,2019-02-27,2020-11-30,20,Khác,1,Tỉnh Bình Phước,0
PID-988777,4200000,2022-01-21,2022-01-22,6,,1,Tỉnh Tây Ninh,0
PID-592488,3860000,2020-11-28,2022-04-06,4,Hưu trí,2,Thành Phố Hà Nội,0
PID-992725,2100000,2022-01-25,2022-01-25,3,,2,Thành Phố Hà Nội,0
PID-641477,2680000,2020-12-06,2020-12-06,4,,1,Thành Phố Đà Nẵng,0
PID-691797,5040000,2021-12-21,2021-12-21,4,,2,Tỉnh Vĩnh Phúc,0
PID-639396,1020000,2020-11-21,2020-11-21,2,,3,,0
PID-517621,9100000,2021-08-22,2022-03-30,9,Lao động phổ thông ngoài trời,2,Thành Phố Hà Nội,0
PID-818779,2680000,2021-06-15,2021-06-15,4,,2,Tỉnh Lâm Đồng,28
PID-1002521,2800000,2022-02-12,2022-02-12,4,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,1,Tỉnh Hải Dương,14
PID-805255,2710000,2021-06-01,2021-06-01,4,,1,Tỉnh Nghệ An,0
PID-88031,1340000,2017-11-04,2017-11-20,2,,2,Tỉnh Nghệ An,0
PID-1211336,2520000,2022-03-08,2022-04-03,2,,1,Tỉnh Gia Lai,0
PID-271241,3350000,2018-12-08,2019-03-23,5,Nhân viên VP,2,Tỉnh Long An,0
PID-136273,27470000,2018-01-19,2019-12-25,41,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,2,Tỉnh Long An,0
PID-547464,8540000,2021-06-14,2022-01-21,9,Hưu trí,2,Thành Phố Hải Phòng,0
PID-93448,26160000,2017-11-18,2021-02-04,40,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Tỉnh Đồng Tháp,0
PID-276599,1020000,2018-12-20,2018-12-24,2,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,1,Tỉnh Long An,0
PID-181275,3350000,2018-05-08,2018-06-20,5,,2,Tỉnh Đắk Lắk,0
PID-247126,670000,2018-10-21,2018-10-21,1,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Thành Phố Hồ Chí Minh,0
PID-402046,2520000,2022-01-30,2022-01-30,2,,1,Tỉnh Phú Thọ,0
PID-90315,1340000,2017-11-07,2017-11-07,2,Nội trợ,1,Tỉnh Tiền Giang,0
PID-1201049,2520000,2022-02-17,2022-02-17,2,,1,,0
PID-191028,670000,2018-06-01,2018-06-01,1,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,1,Thành Phố Hồ Chí Minh,0
PID-144843,14740000,2018-02-05,2018-06-05,22,,1,Thành Phố Hải Phòng,0
PID-360808,2010000,2019-06-07,2019-09-06,3,,1,,0
PID-683204,2010000,2021-01-10,2021-01-10,3,,3,,0
PID-667534,6760000,2020-12-22,2020-12-27,12,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,1,Tỉnh Bà Rịa - Vũng Tàu,0
PID-267890,2010000,2018-12-01,2018-12-01,3,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Tỉnh Đồng Tháp,0
PID-960078,2520000,2021-12-22,2021-12-22,2,,1,Thành Phố Hà Nội,0
PID-79893,3350000,2017-10-22,2017-12-27,5,Lao động phổ thông ngoài trời,2,Tỉnh Ninh Thuận,0
PID-434729,1340000,2019-10-31,2019-11-01,2,,1,Tỉnh Đồng Nai,0
PID-147190,670000,2018-02-11,2018-02-11,1,Nhân viên VP,2,Thành Phố Cần Thơ,0
PID-672480,2680000,2020-12-28,2020-12-28,4,,1,Tỉnh Vĩnh Long,0
PID-1202141,2800000,2022-02-19,2022-02-19,4,,1,,28
PID-680110,670000,2021-01-06,2021-01-06,1,,3,,0
PID-857169,700000,2021-08-06,2021-08-06,1,,3,,0
PID-999967,5040000,2022-02-09,2022-03-30,4,,2,,0
PID-249585,28990000,2018-10-26,2022-02-23,43,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,2,Tỉnh Quảng Nam,32
PID-179211,670000,2018-05-03,2018-05-03,1,,1,,0
PID-661608,3970000,2022-01-23,2022-01-25,5,,1,Tỉnh Tiền Giang,0
PID-1225228,5480000,2022-04-02,2022-04-02,8,,,,28
PID-370104,670000,2021-06-05,2021-06-05,1,,2,Thành Phố Hà Nội,0
PID-278626,6700000,2018-12-25,2019-02-24,10,Nội trợ,1,Thành Phố Hồ Chí Minh,0
PID-1211431,3780000,2022-03-08,2022-03-09,3,,2,,63
PID-109508,670000,2017-12-08,2017-12-08,1,,3,,0
PID-692301,670000,2021-01-22,2021-01-22,1,,3,,0
PID-116236,2010000,2017-12-18,2018-01-17,3,,2,,0
PID-772525,2770000,2021-04-28,2021-06-07,4,,1,Tỉnh Cà Mau,0
PID-983195,5040000,2022-01-16,2022-02-12,4,,1,Thành Phố Hồ Chí Minh,0
PID-1002631,5540000,2022-02-12,2022-02-23,6,Nội trợ,1,Thành Phố Hồ Chí Minh,53
PID-524758,14930000,2021-05-02,2022-01-15,17,Nhân viên VP,2,Thành Phố Hà Nội,0
PID-809723,670000,2021-06-06,2021-06-06,1,,3,,0
PID-1207390,2660000,2022-02-28,2022-03-02,3,,,,7
PID-252448,24470000,2018-10-31,2021-12-17,33,Hưu trí,2,Tỉnh Đắk Lắk,0
PID-1218611,3500000,2022-03-21,2022-03-21,5,,2,,49
PID-1200429,2520000,2022-02-15,2022-02-15,2,,,,0
PID-232485,1340000,2018-09-19,2018-10-15,2,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,1,Tỉnh Vĩnh Long,0
PID-131306,670000,2018-01-11,2018-01-11,1,Hưu trí,1,Tỉnh Bình Phước,0
PID-772299,2800000,2021-11-02,2021-11-02,4,Nhân viên VP,1,Thành Phố Hải Phòng,0
PID-166441,670000,2018-04-01,2018-04-01,1,Nội trợ,2,Thành Phố Hồ Chí Minh,0
PID-1002761,2660000,2022-02-12,2022-02-12,3,,1,,0
PID-203139,5360000,2018-07-04,2019-07-26,8,Nội trợ,1,Tỉnh Lào Cai,0
PID-996615,3780000,2022-02-01,2022-03-29,3,,2,Thành Phố Hà Nội,0
PID-1200614,1400000,2022-02-16,2022-02-20,2,,,,70
PID-343951,670000,2019-05-08,2019-05-08,1,,3,,0
PID-231489,13910000,2019-03-05,2022-02-17,19,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,1,Thành Phố Hà Nội,0
PID-507915,3940000,2021-05-23,2021-11-13,5,,1,Tỉnh Kiên Giang,105
PID-117378,2010000,2018-01-07,2018-04-25,3,Nhân viên VP,2,Tỉnh Kiên Giang,0
PID-200838,700000,2021-01-01,2021-01-01,2,,1,Thành Phố Hồ Chí Minh,0
PID-1224858,2520000,2022-04-01,2022-04-01,2,,,Tỉnh Bà Rịa - Vũng Tàu,0
PID-287712,3350000,2019-01-13,2019-01-13,5,,1,,0
PID-911736,7560000,2021-10-31,2021-10-31,6,,1,Tỉnh Hải Dương,0
PID-849434,5320000,2021-07-24,2021-12-04,6,,1,Tỉnh Ninh Bình,0
PID-922927,11340000,2021-11-10,2022-01-22,9,,1,,0
PID-1210565,2520000,2022-03-06,2022-03-06,2,,,,0
PID-986237,4780000,2022-01-19,2022-01-19,7,,2,,14
PID-882272,2800000,2021-09-21,2021-09-29,4,,2,Thành Phố Hồ Chí Minh,0
PID-640242,700000,2020-11-22,2020-11-29,2,,3,,0
PID-844562,2100000,2021-07-16,2021-07-16,3,Hưu trí,2,Thành Phố Hà Nội,0
PID-980777,2770000,2022-01-14,2022-01-14,4,,1,Tỉnh Bắc Ninh,0
PID-1203024,1260000,2022-02-20,2022-02-20,1,,1,,63
PID-187362,670000,2018-05-22,2018-05-22,1,,1,,0
PID-657995,5360000,2021-05-26,2021-05-31,8,,1,Tỉnh Tây Ninh,0
PID-425598,3350000,2019-09-27,2019-12-14,5,Lao động phổ thông ngoài trời,1,Tỉnh Bình Phước,0
PID-655556,21780000,2020-12-30,2021-12-16,27,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",2,Tỉnh Yên Bái,360
PID-467292,2520000,2022-01-19,2022-01-19,2,,1,Thành Phố Hà Nội,0
PID-753401,16280000,2021-04-06,2022-02-18,22,,1,Tỉnh Bà Rịa - Vũng Tàu,0
PID-812258,2770000,2021-06-08,2021-06-11,4,Lao động phổ thông ngoài trời,2,Tỉnh Bình Dương,0
PID-356009,1020000,2019-05-29,2019-08-21,2,Lao động phổ thông ngoài trời,2,Tỉnh Tiền Giang,0
PID-208299,670000,2018-07-18,2018-07-18,1,Nội trợ,1,Tỉnh Đồng Tháp,0
PID-454683,2680000,2019-11-16,2019-12-25,4,,1,Tỉnh Bình Dương,0
PID-203892,2010000,2018-07-06,2018-08-11,3,Nội trợ,1,Tỉnh Bạc Liêu,0
PID-754364,5400000,2021-12-24,2022-03-24,7,Hưu trí,1,Tỉnh Thanh Hóa,14
PID-951224,5040000,2021-12-13,2021-12-28,4,,2,Thành Phố Hồ Chí Minh,0
PID-360827,670000,2019-06-07,2019-06-07,1,Giảng viên/ Giáo Viên,1,Tỉnh Đắk Lắk,0
PID-218439,6030000,2018-08-14,2019-06-16,9,Lao động phổ thông ngoài trời,1,Thành Phố Hà Nội,0
PID-866226,2710000,2021-08-22,2021-08-22,4,,1,Tỉnh Ninh Bình,0
PID-629347,670000,2020-11-08,2020-11-08,1,,3,,0
PID-259919,8710000,2018-11-14,2019-03-06,13,Hưu trí,1,Thành Phố Hồ Chí Minh,0
PID-420279,1340000,2019-09-18,2019-09-18,2,,2,,0
PID-737711,1340000,2021-03-20,2021-03-21,2,,3,Thành Phố Hồ Chí Minh,0
PID-932501,2820000,2021-11-22,2021-11-22,5,Hưu trí,1,Tỉnh Phú Thọ,0
PID-147158,4690000,2018-02-11,2018-04-21,7,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Tỉnh Tiền Giang,0
PID-396100,2100000,2021-07-17,2021-07-17,3,,1,Thành Phố Hà Nội,14
PID-980408,2520000,2022-01-13,2022-01-19,2,,3,Tỉnh Vĩnh Phúc,0
PID-417749,670000,2019-12-24,2019-12-24,1,,2,,0
PID-1207273,2520000,2022-02-28,2022-02-28,2,,,,0
PID-980393,2520000,2022-03-04,2022-04-05,2,,1,Tỉnh Hải Dương,150
PID-1220820,2800000,2022-03-25,2022-03-25,4,,,,28
PID-993410,5040000,2022-01-26,2022-01-27,4,,1,Tỉnh An Giang,0
PID-889736,5480000,2021-10-03,2021-10-04,8,,2,Thành Phố Hà Nội,0
PID-115020,14070000,2017-12-17,2019-11-17,21,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Tỉnh Kiên Giang,0
PID-910127,3780000,2021-10-30,2021-10-30,3,,1,Thành Phố Hà Nội,0
PID-401361,5340000,2019-08-16,2022-02-09,7,,3,Tỉnh Đồng Nai,0
PID-689260,2680000,2021-01-18,2021-01-29,4,,1,Tỉnh Thanh Hóa,0
PID-271074,670000,2018-12-08,2018-12-08,1,,1,,0
PID-1211205,5320000,2022-03-07,2022-03-07,6,,1,,14
PID-86706,2680000,2018-02-23,2019-09-25,4,Nhân viên VP,2,Tỉnh Vĩnh Phúc,0
PID-1220877,3220000,2022-03-25,2022-03-25,3,,1,,35
PID-199079,3350000,2018-06-23,2018-07-01,5,,3,,0
PID-77154,11390000,2017-10-17,2018-04-18,17,Hưu trí,1,Tỉnh Bình Phước,0
PID-1003025,1960000,2022-02-13,2022-03-30,2,,3,,63
PID-340124,670000,2019-05-01,2019-05-01,1,,2,Tỉnh Quảng Ninh,0
PID-132960,670000,2018-01-13,2018-01-13,1,,2,,0
PID-235455,4690000,2018-09-27,2019-10-27,7,,1,Tỉnh Đồng Nai,0
PID-944338,2660000,2021-12-05,2022-01-07,3,,2,Thành Phố Hà Nội,0
PID-844046,3160000,2021-10-22,2021-12-06,5,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Tỉnh Gia Lai,129
PID-908945,2800000,2021-10-26,2021-10-26,4,Lao động phổ thông ngoài trời,1,Tỉnh Thừa Thiên Huế,0
PID-795857,14100000,2021-05-23,2022-01-23,18,Nhân viên VP,1,Thành Phố Hồ Chí Minh,0
PID-424938,6030000,2019-09-26,2021-07-13,9,,1,Tỉnh Kon Tum,0
PID-976403,2100000,2022-01-09,2022-02-13,3,Học sinh - sinh viên,2,,7
PID-1227033,2800000,2022-04-05,2022-04-05,4,,1,,14
PID-619800,670000,2021-08-24,2021-08-24,1,,2,Tỉnh Bắc Ninh,104
PID-723612,12240000,2021-03-06,2022-03-26,18,,1,Tỉnh Tây Ninh,14
PID-98720,1340000,2017-11-20,2017-11-20,2,Nhân viên VP,1,,0
PID-625823,4080000,2020-11-03,2021-06-23,6,,1,Tỉnh Quảng Ninh,0
PID-580136,5040000,2022-02-13,2022-02-13,4,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,1,Thành Phố Hà Nội,0
PID-912968,4760000,2021-10-31,2022-01-09,6,Hưu trí,1,Thành Phố Hồ Chí Minh,0
PID-857032,700000,2021-08-06,2021-08-06,2,,3,,0
PID-999885,2520000,2022-02-09,2022-02-09,2,,2,,98
PID-256514,3350000,2018-11-08,2019-03-31,5,Hưu trí,2,Thành Phố Hà Nội,0
PID-391613,5880000,2021-08-05,2022-03-11,6,,3,Tỉnh Lâm Đồng,63
PID-174957,2680000,2018-04-22,2018-04-28,4,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",2,Thành Phố Hà Nội,0
PID-602175,16010000,2020-12-24,2022-03-11,15,,2,Tỉnh Tuyên Quang,273
PID-118936,670000,2017-12-22,2017-12-22,1,Nhân viên VP,2,,0
PID-495937,1340000,2021-01-12,2021-01-12,2,,1,Thành Phố Hồ Chí Minh,0
PID-102533,18900000,2017-11-27,2022-01-09,26,Khác,2,Thành Phố Hà Nội,0
PID-107191,1340000,2017-12-05,2017-12-05,2,,3,,0
PID-868905,6240000,2021-08-27,2022-04-06,9,Nhân viên VP,2,Thành Phố Hải Phòng,70
PID-156483,4020000,2018-03-09,2018-03-30,6,Lao động phổ thông ngoài trời,1,Tỉnh Thái Nguyên,0
PID-911558,17080000,2021-10-29,2022-03-04,15,,1,Tỉnh Gia Lai,41
PID-987562,3780000,2022-01-20,2022-02-26,3,,1,Tỉnh Khánh Hòa,63
PID-731696,7880000,2021-03-14,2022-03-11,10,Nội trợ,1,Tỉnh Tiền Giang,14
PID-808128,2680000,2021-06-04,2021-06-04,4,,1,Tỉnh Hà Nam,0
PID-647367,2680000,2020-12-01,2020-12-01,4,,1,Tỉnh Lào Cai,0
PID-440943,1340000,2019-10-23,2019-11-08,2,,1,,0
PID-1217827,1260000,2022-03-19,2022-03-19,1,,,,63
PID-257224,700000,2021-06-28,2021-06-28,1,Nội trợ,1,Tỉnh Gia Lai,0
PID-462590,670000,2019-12-02,2019-12-02,1,Lao động phổ thông ngoài trời,1,Tỉnh Quảng Trị,0
PID-134650,41340000,2018-01-16,2022-02-18,58,Hưu trí,2,Thành Phố Hồ Chí Minh,72
PID-935318,2520000,2021-11-25,2021-12-19,2,,2,Thành Phố Hồ Chí Minh,0
PID-871166,4200000,2021-08-31,2021-08-31,6,,1,Thành Phố Hà Nội,0
PID-368456,2360000,2019-06-21,2019-06-24,4,,1,,0
PID-694920,2680000,2021-01-25,2021-01-26,4,,2,Tỉnh Thừa Thiên Huế,0
PID-329598,4690000,2019-04-12,2019-06-10,7,Lao động phổ thông ngoài trời,2,Tỉnh Bình Định,0
PID-938203,2520000,2021-11-28,2021-11-28,2,Nội trợ,2,Tỉnh Hưng Yên,0
PID-382154,8770000,2019-07-14,2021-09-27,13,Nội trợ,2,Thành Phố Hồ Chí Minh,0
PID-424979,1340000,2019-09-26,2019-09-26,2,Nhân viên VP,3,,0
PID-716028,1340000,2021-02-25,2021-02-25,2,,3,,0
PID-449850,5390000,2021-05-15,2021-05-17,8,Kinh doanh Online/ Kinh doanh tự do/ Tự làm chủ,2,Thành Phố Hồ Chí Minh,75
PID-316211,670000,2019-12-14,2019-12-14,1,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Tỉnh Bình Phước,0
PID-841268,5040000,2022-03-12,2022-03-16,4,,1,Thành Phố Hà Nội,0
PID-788656,12620000,2021-05-16,2022-03-03,15,,1,Thành Phố Hồ Chí Minh,0
PID-1225683,1260000,2022-04-03,2022-04-03,1,,,,0
PID-859892,2100000,2021-08-11,2021-08-11,3,,1,Tỉnh Phú Thọ,0
PID-276966,670000,2018-12-21,2018-12-21,1,,1,,0
PID-1211903,1260000,2022-03-08,2022-03-08,1,,1,Tỉnh Bến Tre,63
PID-966971,2520000,2021-12-30,2022-01-06,2,,2,Thành Phố Hồ Chí Minh,63
PID-765790,22440000,2021-04-20,2022-03-29,26,Nội trợ,2,Tỉnh Thanh Hóa,0
PID-640352,670000,2020-11-23,2020-11-23,1,,3,,0
PID-610069,13330000,2021-04-24,2021-11-10,18,,1,Thành Phố Hồ Chí Minh,99
PID-118880,2010000,2017-12-22,2018-01-16,3,Nội trợ,1,Tỉnh Bình Phước,0
PID-124054,670000,2017-12-30,2017-12-30,1,,1,Tỉnh Quảng Trị,0
PID-876181,700000,2021-09-09,2021-09-09,1,,3,,0
PID-612982,1340000,2020-11-14,2020-12-03,2,"Ngành nghề chuyên môn (Bác sĩ, Dược sĩ, Kỹ sư, ...)",1,Tỉnh Bắc Giang,0
PID-315191,8040000,2019-03-18,2021-02-01,12,Hưu trí,1,Tỉnh Đắk Lắk,0
PID-1214403,7250000,2022-03-13,2022-03-13,8,,,Thành Phố Hà Nội,112
PID-983812,3780000,2022-01-17,2022-01-17,3,,1,Tỉnh Nam Định,0
PID-597928,700000,2020-11-04,2020-11-07,2,,1,Tỉnh Ninh Thuận,0
